epoch,IoU,auc,binaryCE,dice_coef,dice_loss,loss,pr_auc,precision,recall,val_IoU,val_auc,val_binaryCE,val_dice_coef,val_dice_loss,val_loss,val_pr_auc,val_precision,val_recall,val_weighted_bce,weighted_bce
12,0.572051465511322,0.994300127029419,0.015437422320246696,0.6490318775177002,0.3509678542613983,0.29837918281555176,0.8628766536712646,0.8599383234977722,0.9331309795379639,0.5163219571113586,0.9853090047836304,0.018202969804406166,0.5914281606674194,0.4085717797279358,0.3549383878707886,0.8305765986442566,0.8408789038658142,0.9195594191551208,0.19163253903388977,0.1406138688325882
13,0.588474452495575,0.9937143325805664,0.015164220705628395,0.668620228767395,0.3313800096511841,0.28726890683174133,0.8634100556373596,0.8636652231216431,0.9317256212234497,0.48669376969337463,0.9815906882286072,0.026709163561463356,0.5654330849647522,0.434566855430603,0.38412147760391235,0.7572921514511108,0.770470917224884,0.9068875908851624,0.23027388751506805,0.15493659675121307
14,0.5746136903762817,0.9944139122962952,0.01452101580798626,0.6502612829208374,0.3497387766838074,0.29813292622566223,0.8669080138206482,0.8652670383453369,0.9323436617851257,0.4823800027370453,0.9892270565032959,0.019864903762936592,0.5620288848876953,0.43797099590301514,0.3586759567260742,0.816989004611969,0.791954755783081,0.9497102499008179,0.11835350841283798,0.14331550896167755
15,0.5902241468429565,0.9945239424705505,0.013284284621477127,0.666974663734436,0.33302509784698486,0.28500986099243164,0.8782061338424683,0.8776077032089233,0.934361457824707,0.5249294638633728,0.988489031791687,0.017349503934383392,0.5989305377006531,0.40106943249702454,0.34511661529541016,0.8400790691375732,0.8351709842681885,0.9392896890640259,0.17476128041744232,0.14096447825431824
16,0.5787463188171387,0.9942968487739563,0.013869429007172585,0.6547966003417969,0.3452031910419464,0.295523077249527,0.8752962946891785,0.8786280751228333,0.9324133396148682,0.5262907147407532,0.9879138469696045,0.013675377704203129,0.599907398223877,0.4000924527645111,0.35173335671424866,0.8625351190567017,0.8712854981422424,0.9213945865631104,0.2045438438653946,0.14648349583148956
17,0.5904606580734253,0.9948754906654358,0.012896258383989334,0.6672379374504089,0.33276182413101196,0.2847084701061249,0.8811498284339905,0.8821304440498352,0.9336885213851929,0.5326443910598755,0.9868596196174622,0.013668292202055454,0.6055900454521179,0.39441001415252686,0.34664207696914673,0.8669263124465942,0.8814443349838257,0.9190133213996887,0.20105412602424622,0.14054839313030243
18,0.5977441072463989,0.994705319404602,0.013150623999536037,0.6734387874603271,0.3265606164932251,0.28176164627075195,0.8800842761993408,0.8801153302192688,0.9374687075614929,0.512117326259613,0.9875946044921875,0.016902679577469826,0.5875125527381897,0.4124874472618103,0.3498428165912628,0.8379998207092285,0.8367571234703064,0.9357641935348511,0.15970495343208313,0.1473645120859146
19,0.5843669772148132,0.9933138489723206,0.014216448180377483,0.6628860831260681,0.33711332082748413,0.29020577669143677,0.8693312406539917,0.8744961023330688,0.9284305572509766,0.4904669225215912,0.9898309707641602,0.02029728703200817,0.5713980197906494,0.4286019504070282,0.36259961128234863,0.8029020428657532,0.7977305054664612,0.9232075214385986,0.162374809384346,0.14948217570781708
20,0.6004171967506409,0.9946587085723877,0.012571578845381737,0.6760789752006531,0.32392027974128723,0.2771928906440735,0.8835289478302002,0.8854969143867493,0.9358751177787781,0.531798779964447,0.9880203604698181,0.016616588458418846,0.6058049201965332,0.3941951394081116,0.3342554271221161,0.8469388484954834,0.8410701751708984,0.9491269588470459,0.1520499736070633,0.13700948655605316
21,0.5940279364585876,0.9951680302619934,0.012187541462481022,0.6700289249420166,0.329971045255661,0.28380244970321655,0.8859879970550537,0.885615348815918,0.9383353590965271,0.5384853482246399,0.9855403304100037,0.014325403608381748,0.6099603176116943,0.3900395631790161,0.3485064208507538,0.8636788725852966,0.8830086588859558,0.9225797057151794,0.22156330943107605,0.1452959179878235
22,0.5860103964805603,0.9945191740989685,0.01420686487108469,0.6607362627983093,0.33926376700401306,0.28886500000953674,0.8714075088500977,0.8733158111572266,0.935785710811615,0.5339312553405762,0.9896532893180847,0.013934074901044369,0.607778787612915,0.3922211229801178,0.3280740976333618,0.8603758215904236,0.857649564743042,0.9396389126777649,0.13339409232139587,0.1376689374446869
23,0.5967527627944946,0.9948017001152039,0.012680906802415848,0.6727049946784973,0.32729464769363403,0.27850469946861267,0.8804603219032288,0.8800572156906128,0.9359187483787537,0.5347704291343689,0.989257276058197,0.013798501342535019,0.6080053448677063,0.39199453592300415,0.3291817605495453,0.860244870185852,0.8519935011863708,0.9435136318206787,0.13840661942958832,0.1321343183517456
24,0.598105251789093,0.9956053495407104,0.01176903210580349,0.671317458152771,0.3286822438240051,0.27835744619369507,0.8881784081459045,0.8907342553138733,0.9355226755142212,0.5468148589134216,0.9898557066917419,0.013864505104720592,0.6176817417144775,0.3823181390762329,0.32549211382865906,0.8622717261314392,0.8652664422988892,0.9369455575942993,0.15274734795093536,0.12738296389579773
