epoch,IoU,auc,binaryCE,dice_coef,dice_loss,loss,pr_auc,precision,recall,val_IoU,val_auc,val_binaryCE,val_dice_coef,val_dice_loss,val_loss,val_pr_auc,val_precision,val_recall,val_weighted_bce,weighted_bce
0,0.28541263937950134,0.9555914998054504,0.20793400704860687,0.38755330443382263,0.612446665763855,0.5415839552879333,0.475984126329422,0.24803967773914337,0.8765410780906677,0.2705996036529541,0.9872205257415771,0.13232021033763885,0.3575096130371094,0.6424902081489563,0.5175170302391052,0.5390337705612183,0.42084288597106934,0.9535151124000549,0.14259697496891022,0.3289957642555237
1,0.4064405858516693,0.9858761429786682,0.09083849936723709,0.5159629583358765,0.4840371012687683,0.41812098026275635,0.6427180171012878,0.5862626433372498,0.9031385183334351,0.34999793767929077,0.9852995872497559,0.0679180845618248,0.4376504719257355,0.5623494982719421,0.4872235059738159,0.6441861391067505,0.6216666102409363,0.8623015284538269,0.2618464231491089,0.22037102282047272
2,0.4170463979244232,0.9869158864021301,0.08649466186761856,0.5238969922065735,0.47610315680503845,0.41203030943870544,0.6566723585128784,0.599735677242279,0.9038116931915283,0.3477327823638916,0.9907847046852112,0.07271050661802292,0.43453168869018555,0.565468430519104,0.47088491916656494,0.6467999815940857,0.5929838418960571,0.9113271832466125,0.18713513016700745,0.21981126070022583
3,0.44793546199798584,0.9890701174736023,0.0766572505235672,0.5535918474197388,0.4464079737663269,0.38483110070228577,0.6899175047874451,0.6404194831848145,0.9187955260276794,0.36025381088256836,0.9881063103675842,0.04229200258851051,0.4488258361816406,0.551173985004425,0.4947907626628876,0.744377851486206,0.737316906452179,0.8256276845932007,0.32564160227775574,0.20010019838809967
4,0.456106960773468,0.9899481534957886,0.06721987575292587,0.5607793927192688,0.4392205476760864,0.3767123520374298,0.7166935205459595,0.6755239367485046,0.9156821966171265,0.36615970730781555,0.9931235909461975,0.05477612838149071,0.4543168544769287,0.5456830859184265,0.44914814829826355,0.7129108309745789,0.6544504165649414,0.8991357088088989,0.15954217314720154,0.18918626010417938
5,0.4725777804851532,0.9907912611961365,0.06588023155927658,0.575738251209259,0.42426154017448425,0.3648146390914917,0.7256168127059937,0.6865748763084412,0.9202433228492737,0.39256751537323,0.9945359826087952,0.04487169161438942,0.4782556891441345,0.5217443704605103,0.4366624057292938,0.7657226324081421,0.7285429835319519,0.9106348752975464,0.181416854262352,0.18647481501102448
6,0.4797006845474243,0.9911490678787231,0.06033169478178024,0.5820741057395935,0.4179261326789856,0.36142459511756897,0.7411391735076904,0.7145082950592041,0.9152722358703613,0.3920954763889313,0.9949959516525269,0.05146044120192528,0.4781155586242676,0.5218844413757324,0.42637544870376587,0.7348173260688782,0.6847736239433289,0.9361234307289124,0.13984942436218262,0.19192105531692505
7,0.49146053194999695,0.9917030334472656,0.0575590543448925,0.592892050743103,0.4071080982685089,0.3496112823486328,0.7497974038124084,0.721613347530365,0.923119068145752,0.3866647481918335,0.9949934482574463,0.0572240874171257,0.4744439423084259,0.5255560278892517,0.42918941378593445,0.7253866195678711,0.659410297870636,0.9485607743263245,0.14008980989456177,0.1771215796470642
8,0.49784231185913086,0.9920541644096375,0.05884435027837753,0.5991640090942383,0.4008356034755707,0.34227418899536133,0.7461261749267578,0.7133215665817261,0.926803708076477,0.41337570548057556,0.9948519468307495,0.04554049298167229,0.4977721869945526,0.5022278428077698,0.41314697265625,0.7570895552635193,0.7186176776885986,0.9290258288383484,0.14590437710285187,0.16658855974674225
9,0.5127981901168823,0.9930158257484436,0.05102717503905296,0.6110959649085999,0.3889044523239136,0.334194153547287,0.7729862928390503,0.7477496862411499,0.9259548783302307,0.4233578145503998,0.9933294653892517,0.050413068383932114,0.5058659911155701,0.4941340684890747,0.41253572702407837,0.7426095008850098,0.7187433242797852,0.9353299736976624,0.16774070262908936,0.17006492614746094
10,0.5153524875640869,0.9933891296386719,0.04853656888008118,0.6130039095878601,0.38699591159820557,0.33323824405670166,0.7837082147598267,0.7605689764022827,0.9255754947662354,0.3942491114139557,0.9947183132171631,0.05444726720452309,0.47908473014831543,0.5209152698516846,0.41977328062057495,0.7150412201881409,0.6624306440353394,0.9533860683441162,0.11634746193885803,0.17196594178676605
11,0.531427264213562,0.9935502409934998,0.04713232442736626,0.6277461647987366,0.37225377559661865,0.3181563913822174,0.787436842918396,0.7678349614143372,0.9262512922286987,0.4191643297672272,0.9937519431114197,0.043260373175144196,0.5030041933059692,0.49699580669403076,0.4151543378829956,0.7687116265296936,0.7413150668144226,0.9297599792480469,0.16962920129299164,0.1558648645877838
12,0.530543863773346,0.9932408332824707,0.04796561226248741,0.6275885105133057,0.37241196632385254,0.320840984582901,0.7889634370803833,0.7687442302703857,0.9256372451782227,0.4269578456878662,0.9960756301879883,0.03900498151779175,0.5107666850090027,0.4892333149909973,0.4030093252658844,0.7920342087745667,0.751324474811554,0.9370442032814026,0.14433805644512177,0.16612859070301056
13,0.5480626821517944,0.9943021535873413,0.043826594948768616,0.6418597102165222,0.35814064741134644,0.3056960701942444,0.8036510944366455,0.7847984433174133,0.9320016503334045,0.4473429322242737,0.9893698692321777,0.03803716599941254,0.5274105072021484,0.4725894331932068,0.42372217774391174,0.7970297336578369,0.8042564392089844,0.9082579612731934,0.27712076902389526,0.14836381375789642
14,0.542670488357544,0.994118869304657,0.04398515820503235,0.6333630681037903,0.3666364252567291,0.3123611807823181,0.7988570928573608,0.7813002467155457,0.9311684966087341,0.4096281826496124,0.9950864315032959,0.04871816188097,0.49368542432785034,0.5063144564628601,0.41243821382522583,0.7394568920135498,0.6968939900398254,0.9279515743255615,0.13080960512161255,0.1495351344347
15,0.5553699731826782,0.9943455457687378,0.040916550904512405,0.6462140083312988,0.35378575325012207,0.3003683388233185,0.8107507228851318,0.7952344417572021,0.9319415092468262,0.41923609375953674,0.9742187857627869,0.04625120386481285,0.5030425786972046,0.4969574809074402,0.488023579120636,0.7628390192985535,0.8201765418052673,0.8294834494590759,0.46122249960899353,0.14011740684509277
16,0.5518344044685364,0.9950503706932068,0.0389210470020771,0.6416418552398682,0.35835787653923035,0.3035462200641632,0.8192190527915955,0.8014012575149536,0.9335615038871765,0.4387351870536804,0.9956225156784058,0.03439120203256607,0.5204897522926331,0.47951021790504456,0.4043480157852173,0.8062952756881714,0.7802085876464844,0.9268407821655273,0.17886224389076233,0.1391112059354782
17,0.5636937618255615,0.9949377179145813,0.03801882639527321,0.652214765548706,0.3477851450443268,0.29573845863342285,0.8258246779441833,0.8125113248825073,0.933016300201416,0.4563573896884918,0.9942955374717712,0.032684575766325,0.5377823114395142,0.4622177481651306,0.40884020924568176,0.8137223124504089,0.8097146153450012,0.9191833734512329,0.24870742857456207,0.13959848880767822
18,0.566632866859436,0.9951556921005249,0.03608056157827377,0.6546028852462769,0.3453977704048157,0.29548850655555725,0.832345724105835,0.8212555050849915,0.9305339455604553,0.4538724422454834,0.99662184715271,0.028919456526637077,0.5381768345832825,0.46182310581207275,0.38632187247276306,0.8233438730239868,0.8015704154968262,0.9239319562911987,0.15981894731521606,0.1457609385251999
19,0.5730584263801575,0.9952362179756165,0.03496962785720825,0.6612109541893005,0.33878883719444275,0.28831055760383606,0.8369373083114624,0.8243867754936218,0.9344785213470459,0.4436940848827362,0.9935924410820007,0.03165857866406441,0.5252746343612671,0.4747254550457001,0.4093923568725586,0.8160502314567566,0.8040778040885925,0.9117230772972107,0.2133936882019043,0.13687580823898315
20,0.5812675952911377,0.9956254363059998,0.03275098279118538,0.665031909942627,0.33496809005737305,0.28263992071151733,0.8466836810112,0.8359957933425903,0.9362307786941528,0.45371147990226746,0.9959600567817688,0.042871225625276566,0.5376931428909302,0.4623068571090698,0.3827339708805084,0.7886934280395508,0.7560181617736816,0.9652305245399475,0.14401482045650482,0.12565767765045166
21,0.5858218669891357,0.9953588247299194,0.03705527260899544,0.6740598082542419,0.32594016194343567,0.278423547744751,0.8318383693695068,0.8212720155715942,0.9376139044761658,0.45543405413627625,0.9950210452079773,0.04078540578484535,0.5366311073303223,0.46336880326271057,0.38265326619148254,0.7891673445701599,0.7713609933853149,0.9489531517028809,0.14050693809986115,0.13587450981140137
22,0.5843797922134399,0.9956870079040527,0.033801138401031494,0.6675563454627991,0.33244389295578003,0.2807791829109192,0.8414298892021179,0.8300425410270691,0.9352395534515381,0.44454213976860046,0.9961133003234863,0.04785384237766266,0.5280229449272156,0.4719771444797516,0.3817608654499054,0.7688568234443665,0.7354604601860046,0.9654083847999573,0.11111263930797577,0.12578512728214264
23,0.5986865758895874,0.9961069226264954,0.03116513602435589,0.6824225783348083,0.31757694482803345,0.26931628584861755,0.8551700711250305,0.8426986932754517,0.9406856894493103,0.4671591818332672,0.9951217770576477,0.03837331011891365,0.5486001372337341,0.4513999819755554,0.3783847689628601,0.7999557852745056,0.7788094282150269,0.9508069157600403,0.15934012830257416,0.1245342269539833
24,0.6061885952949524,0.9958329200744629,0.03182411938905716,0.6922444701194763,0.307756245136261,0.26336395740509033,0.8519251942634583,0.8402054309844971,0.9379733800888062,0.46682554483413696,0.9907265901565552,0.03696893900632858,0.5473896861076355,0.4526102542877197,0.40314581990242004,0.7943723797798157,0.8009105920791626,0.9141488075256348,0.25475192070007324,0.13018783926963806
25,0.5994606614112854,0.9962361454963684,0.029338251799345016,0.6820465326309204,0.3179534673690796,0.26954978704452515,0.8612579107284546,0.8500128388404846,0.941719114780426,0.47229287028312683,0.9946242570877075,0.029875755310058594,0.5527479648590088,0.4472520053386688,0.38762006163597107,0.8314148187637329,0.8196052312850952,0.935120701789856,0.20872437953948975,0.12433874607086182
26,0.5995560884475708,0.9958466291427612,0.030626365914940834,0.6828945875167847,0.317104697227478,0.2689318060874939,0.8567283749580383,0.8454890847206116,0.9410159587860107,0.46999239921569824,0.9923081398010254,0.031399451196193695,0.5489571690559387,0.4510427415370941,0.4018106758594513,0.8245331645011902,0.8159377574920654,0.9354782104492188,0.2541142404079437,0.12441208958625793
